startMJD|stopMJD|ntransits|coverage|sIndex|ra|dec|porErr|signif|flux|fluxErr|nearSources
4.99512321264239e+18|4.99514625335761e+18|1|1.0|-2.5|1.46354485339885|0.384963064293902|0.00199876113839927|6.60050075915279|2.22720036588798e-16|4.69896982693585e-17|Crab Pulsar (0.21°), Crab (0.21°), 3FHL J0534.5+2201 (0.21°), 3FGL J0534.5+2201i (0.21°), 3FGL J0534.5+2201s (0.21°), 3FGL J0534.5+2201 (0.20°)
4.9956401536424e+18|4.99566319435761e+18|1|0.999996410377787|-2.5|1.46047275959568|0.384958021873714|0.00199876113834373|6.17450879819007|2.07070927371873e-16|4.65555215478534e-17|Crab Pulsar (0.06°), Crab (0.06°), 3FHL J0534.5+2201 (0.06°), 3FGL J0534.5+2201i (0.06°), 3FGL J0534.5+2201s (0.06°), 3FGL J0534.5+2201 (0.05°)
4.99564016369283e+18|4.99566320630717e+18|2|0.999998205188894|-3.0|1.46123835506021|0.385661877641233|0.00199874148888187|7.38811152463531|2.52495419705646e-16|3.97689322589025e-17|Crab Pulsar (0.12°), Crab (0.12°), 3FHL J0534.5+2201 (0.11°), 3FGL J0534.5+2201i (0.11°), 3FGL J0534.5+2201s (0.11°), 3FGL J0534.5+2201 (0.11°)
4.9956401536424e+18|4.99566319435761e+18|3|0.999998803459262|-2.5|1.46047275959568|0.384958021873714|0.00140538334679919|9.65130076686092|1.7997271434479e-16|2.6292551099881e-17|Crab Pulsar (0.06°), Crab (0.06°), 3FHL J0534.5+2201 (0.06°), 3FGL J0534.5+2201i (0.06°), 3FGL J0534.5+2201s (0.06°), 3FGL J0534.5+2201 (0.05°)
4.99570367387049e+18|4.99572511412952e+18|3|1.0|-2.0|6.03475210315324|0.126338368591824|0.00262519043133244|5.01972827775045|3.0731772466555e-17|9.61398731446231e-18|
4.99572630859854e+18|4.99574934740146e+18|2|0.999998205182451|-2.5|1.4597071631927|0.384254366220019|0.00199876830404589|6.62381660831076|1.54256034682302e-16|3.17765108245178e-17|Crab Pulsar (0.00°), Crab (0.01°), 3FHL J0534.5+2201 (0.00°), 3FGL J0534.5+2201i (0.00°), 3FGL J0534.5+2201s (0.00°), 3FGL J0534.5+2201 (0.01°)
4.99572631864239e+18|4.99574935935761e+18|3|0.999998803454967|-3.0|1.46047275959568|0.384958021873714|0.00140538334679919|7.87669939394758|2.19940914845143e-16|3.22870624285302e-17|Crab Pulsar (0.06°), Crab (0.06°), 3FHL J0534.5+2201 (0.06°), 3FGL J0534.5+2201i (0.06°), 3FGL J0534.5+2201s (0.06°), 3FGL J0534.5+2201 (0.05°)
4.99580135274266e+18|4.99581821325734e+18|1|0.987809642965837|-2.5|0.424291807586209|-0.169600880554388|0.00264081373702977|5.25763381314075|4.33803864300236e-16|1.1902689952403e-16|
4.99580135516994e+18|4.99581823083007e+18|2|0.993904821482918|-2.5|0.425058503946277|-0.168940015524849|0.00330097612100657|5.26266326201385|3.052158447564e-16|7.90929938570949e-17|
4.99580657626155e+18|4.99582739773845e+18|2|0.987454270366784|-2.5|0.949461822997261|0.0694395538582395|0.00201128049690564|5.49798947838724|1.3293440121613e-16|3.45357494378487e-17|
4.99581248456125e+18|4.99583552143875e+18|2|0.987436322255721|-3.0|1.46047422958332|0.383552991083499|0.0028067825614194|5.07106542659749|1.68862194276243e-16|3.78958428221263e-17|Crab Pulsar (0.06°), Crab (0.06°), 3FHL J0534.5+2201 (0.06°), 3FGL J0534.5+2201i (0.06°), 3FGL J0534.5+2201s (0.06°), 3FGL J0534.5+2201 (0.06°)
4.99581247359854e+18|4.99583551240146e+18|3|0.99162301829641|-2.5|1.45970593653158|0.384253916106291|0.00142203823017901|7.72840248974626|1.45823686924604e-16|2.54389978455297e-17|Crab Pulsar (0.00°), Crab (0.01°), 3FHL J0534.5+2201 (0.00°), 3FGL J0534.5+2201i (0.00°), 3FGL J0534.5+2201s (0.00°), 3FGL J0534.5+2201 (0.01°)
4.99589864474985e+18|4.99592168925015e+18|1|0.938315931897802|-3.0|1.46046845451418|0.386362668289901|0.00222589224175241|5.22669511243173|2.42581713877553e-16|5.62125254638522e-17|Crab Pulsar (0.13°), Crab (0.13°), 3FHL J0534.5+2201 (0.12°), 3FGL J0534.5+2201i (0.12°), 3FGL J0534.5+2201s (0.12°), 3FGL J0534.5+2201 (0.12°)
4.99589864664239e+18|4.99592168735761e+18|2|0.956594288204622|-2.5|1.46047115643937|0.384957287171932|0.00199874772848123|6.28620357519498|1.42636153673387e-16|3.12269640691027e-17|Crab Pulsar (0.06°), Crab (0.06°), 3FHL J0534.5+2201 (0.06°), 3FGL J0534.5+2201i (0.06°), 3FGL J0534.5+2201s (0.06°), 3FGL J0534.5+2201 (0.05°)
4.99589863759854e+18|4.99592167640146e+18|3|0.971062858803081|-3.0|1.45970556069727|0.384253631113316|0.00142203823017901|7.02803164761786|1.88292376316695e-16|3.11670655310052e-17|Crab Pulsar (0.00°), Crab (0.01°), 3FHL J0534.5+2201 (0.00°), 3FGL J0534.5+2201i (0.00°), 3FGL J0534.5+2201s (0.00°), 3FGL J0534.5+2201 (0.01°)
4.99589872874985e+18|4.99592177325015e+18|3|0.971063951474336|-3.0|1.46660402634759|0.386372797678788|0.00224389318684462|5.40734907500827|1.60878127250771e-16|3.24842533423636e-17|
4.99591149709466e+18|4.99593456490534e+18|1|0.950402189887799|-2.0|2.39871305320044|0.396906462496081|0.00199868804222597|5.47353569851789|4.77089256782716e-17|1.57647580553981e-17|
